time,client_slug,driver_slug,status,pickup_address,pickup_city,dropoff_address,dropoff_city
08:00,christine-murphy,joshua-muniu,scheduled,,,,
09:00,raul-barros,david-waiyaki,scheduled,,,,
14:00,ryan-c,ernest,scheduled,,,,
14:30,ryan-k,ernest,scheduled,,,,
10:25,yang-keka,kennedy,scheduled,,,,
11:00,mateo-s,william-toribio,scheduled,,,,
12:05,wang-jinyou,jock,scheduled,,,,
13:30,raul-barros,david-waiyaki,scheduled,,,,
14:00,christine-murphy,joshua-muniu,scheduled,,,,
15:00,barry-c,charles-gudoyi,scheduled,,,,
